SDLK_UNKNOWN unknown

SDLK_RETURN enter
SDLK_ESCAPE escape
SDLK_BACKSPACE backspace
SDLK_TAB tab
SDLK_SPACE space
SDLK_EXCLAIM exclamationPoint
SDLK_QUOTEDBL quote
SDLK_HASH hash
SDLK_PERCENT percent
SDLK_DOLLAR dollar
SDLK_AMPERSAND ampersand
SDLK_QUOTE apostrophe
SDLK_LEFTPAREN leftParen
SDLK_RIGHTPAREN rightParen
SDLK_ASTERISK asterisk
SDLK_PLUS plus
SDLK_COMMA comma
SDLK_MINUS minus
SDLK_PERIOD period
SDLK_SLASH slash
SDLK_0 num_0
SDLK_1 num_1
SDLK_2 num_2
SDLK_3 num_3
SDLK_4 num_4
SDLK_5 num_5
SDLK_6 num_6
SDLK_7 num_7
SDLK_8 num_8
SDLK_9 num_9
SDLK_COLON colon
SDLK_SEMICOLON semicolon
SDLK_LESS less
SDLK_EQUALS equals
SDLK_GREATER greater
SDLK_QUESTION questionMark
SDLK_AT at

SDLK_LEFTBRACKET leftBracket
SDLK_BACKSLASH backslash
SDLK_RIGHTBRACKET rightBracket
SDLK_CARET caret
SDLK_UNDERSCORE underscore
SDLK_BACKQUOTE backquote
SDLK_a a
SDLK_b b
SDLK_c c
SDLK_d d
SDLK_e e
SDLK_f f
SDLK_g g
SDLK_h h
SDLK_i i
SDLK_j j
SDLK_k k
SDLK_l l
SDLK_m m
SDLK_n n
SDLK_o o
SDLK_p p
SDLK_q q
SDLK_r r
SDLK_s s
SDLK_t t
SDLK_u u
SDLK_v v
SDLK_w w
SDLK_x x
SDLK_y y
SDLK_z z

SDLK_CAPSLOCK capslock

SDLK_F1 f1
SDLK_F2 f2
SDLK_F3 f3
SDLK_F4 f4
SDLK_F5 f5
SDLK_F6 f6
SDLK_F7 f7
SDLK_F8 f8
SDLK_F9 f9
SDLK_F10 f10
SDLK_F11 f11
SDLK_F12 f12

SDLK_PRINTSCREEN printscreen
SDLK_SCROLLLOCK scrolllock
SDLK_PAUSE pause
SDLK_INSERT insert
SDLK_HOME home
SDLK_PAGEUP pageup
SDLK_DELETE del
SDLK_END end
SDLK_PAGEDOWN pagedown
SDLK_RIGHT right
SDLK_LEFT left
SDLK_DOWN down
SDLK_UP up

SDLK_NUMLOCKCLEAR numlock
SDLK_KP_DIVIDE kp_divide
SDLK_KP_MULTIPLY kp_multiply
SDLK_KP_MINUS kp_minus
SDLK_KP_PLUS kp_plus
SDLK_KP_ENTER kp_enter
SDLK_KP_1 kp_1
SDLK_KP_2 kp_2
SDLK_KP_3 kp_3
SDLK_KP_4 kp_4
SDLK_KP_5 kp_5
SDLK_KP_6 kp_6
SDLK_KP_7 kp_7
SDLK_KP_8 kp_8
SDLK_KP_9 kp_9
SDLK_KP_0 kp_0
SDLK_KP_PERIOD kp_period

SDLK_APPLICATION app
SDLK_POWER power
SDLK_KP_EQUALS kp_equals
SDLK_F13 f13
SDLK_F14 f14
SDLK_F15 f15
SDLK_F16 f16
