SDL_SCANCODE_UNKNOWN unknown

SDL_SCANCODE_A a
SDL_SCANCODE_B b
SDL_SCANCODE_C c
SDL_SCANCODE_D d
SDL_SCANCODE_E e
SDL_SCANCODE_F f
SDL_SCANCODE_G g
SDL_SCANCODE_H h
SDL_SCANCODE_I i
SDL_SCANCODE_J j
SDL_SCANCODE_K k
SDL_SCANCODE_L l
SDL_SCANCODE_M m
SDL_SCANCODE_N n
SDL_SCANCODE_O o
SDL_SCANCODE_P p
SDL_SCANCODE_Q q
SDL_SCANCODE_R r
SDL_SCANCODE_S s
SDL_SCANCODE_T t
SDL_SCANCODE_U u
SDL_SCANCODE_V v
SDL_SCANCODE_W w
SDL_SCANCODE_X x
SDL_SCANCODE_Y y
SDL_SCANCODE_Z z

SDL_SCANCODE_1 num_1
SDL_SCANCODE_2 num_2
SDL_SCANCODE_3 num_3
SDL_SCANCODE_4 num_4
SDL_SCANCODE_5 num_5
SDL_SCANCODE_6 num_6
SDL_SCANCODE_7 num_7
SDL_SCANCODE_8 num_8
SDL_SCANCODE_9 num_9
SDL_SCANCODE_0 num_0

SDL_SCANCODE_RETURN enter
SDL_SCANCODE_ESCAPE escape
SDL_SCANCODE_BACKSPACE backspace
SDL_SCANCODE_TAB tab
SDL_SCANCODE_SPACE space

SDL_SCANCODE_MINUS minus
SDL_SCANCODE_EQUALS eq
SDL_SCANCODE_LEFTBRACKET leftBracket
SDL_SCANCODE_RIGHTBRACKET rightBracket
SDL_SCANCODE_BACKSLASH backslash
SDL_SCANCODE_NONUSHASH nonUsHash
SDL_SCANCODE_SEMICOLON semicolon
SDL_SCANCODE_APOSTROPHE apostrophe
SDL_SCANCODE_GRAVE grave
SDL_SCANCODE_COMMA comma
SDL_SCANCODE_PERIOD period
SDL_SCANCODE_SLASH slash

SDL_SCANCODE_CAPSLOCK capslock

SDL_SCANCODE_F1 f1
SDL_SCANCODE_F2 f2
SDL_SCANCODE_F3 f3
SDL_SCANCODE_F4 f4
SDL_SCANCODE_F5 f5
SDL_SCANCODE_F6 f6
SDL_SCANCODE_F7 f7
SDL_SCANCODE_F8 f8
SDL_SCANCODE_F9 f9
SDL_SCANCODE_F10 f10
SDL_SCANCODE_F11 f11
SDL_SCANCODE_F12 f12

SDL_SCANCODE_PRINTSCREEN printscreen
SDL_SCANCODE_SCROLLLOCK scrolllock
SDL_SCANCODE_PAUSE pause
SDL_SCANCODE_INSERT insert
SDL_SCANCODE_HOME home
SDL_SCANCODE_PAGEUP pageup
SDL_SCANCODE_DELETE del
SDL_SCANCODE_END end
SDL_SCANCODE_PAGEDOWN pagedown
SDL_SCANCODE_RIGHT right
SDL_SCANCODE_LEFT left
SDL_SCANCODE_DOWN down
SDL_SCANCODE_UP up

SDL_SCANCODE_NUMLOCKCLEAR numlock
SDL_SCANCODE_KP_DIVIDE kp_divide
SDL_SCANCODE_KP_MULTIPLY kp_multiply
SDL_SCANCODE_KP_MINUS kp_minus
SDL_SCANCODE_KP_PLUS kp_plus
SDL_SCANCODE_KP_ENTER kp_enter
SDL_SCANCODE_KP_1 kp_1
SDL_SCANCODE_KP_2 kp_2
SDL_SCANCODE_KP_3 kp_3
SDL_SCANCODE_KP_4 kp_4
SDL_SCANCODE_KP_5 kp_5
SDL_SCANCODE_KP_6 kp_6
SDL_SCANCODE_KP_7 kp_7
SDL_SCANCODE_KP_8 kp_8
SDL_SCANCODE_KP_9 kp_9
SDL_SCANCODE_KP_0 kp_0
SDL_SCANCODE_KP_PERIOD kp_period

SDL_SCANCODE_NONUSBACKSLASH nonUsBackslash
SDL_SCANCODE_APPLICATION app
SDL_SCANCODE_POWER power
SDL_SCANCODE_KP_EQUALS kp_equals
SDL_SCANCODE_F13 f13
SDL_SCANCODE_F14 f14
SDL_SCANCODE_F15 f15
SDL_SCANCODE_F16 f16
SDL_SCANCODE_F17 f17
SDL_SCANCODE_F18 f18
SDL_SCANCODE_F19 f19
SDL_SCANCODE_F20 f20
SDL_SCANCODE_F21 f21
SDL_SCANCODE_F22 f22
SDL_SCANCODE_F23 f23
SDL_SCANCODE_F24 f24
SDL_SCANCODE_EXECUTE exec
SDL_SCANCODE_HELP help
SDL_SCANCODE_MENU menu
SDL_SCANCODE_SELECT select
SDL_SCANCODE_STOP stop
SDL_SCANCODE_AGAIN again
SDL_SCANCODE_UNDO undo
SDL_SCANCODE_CUT cut
SDL_SCANCODE_COPY copy
SDL_SCANCODE_PASTE paste
SDL_SCANCODE_FIND find
SDL_SCANCODE_MUTE mute
SDL_SCANCODE_VOLUMEUP volumeUp
SDL_SCANCODE_VOLUMEDOWN volumeDown
SDL_SCANCODE_KP_COMMA kp_comma
SDL_SCANCODE_KP_EQUALSAS400 kp_eqas400

SDL_SCANCODE_INTERNATIONAL1 internat_1
SDL_SCANCODE_INTERNATIONAL2 internat_2
SDL_SCANCODE_INTERNATIONAL3 internat_3
SDL_SCANCODE_INTERNATIONAL4 internat_4
SDL_SCANCODE_INTERNATIONAL5 internat_5
SDL_SCANCODE_INTERNATIONAL6 internat_6
SDL_SCANCODE_INTERNATIONAL7 internat_7
SDL_SCANCODE_INTERNATIONAL8 internat_8
SDL_SCANCODE_INTERNATIONAL9 internat_9
SDL_SCANCODE_LANG1 lang_1
SDL_SCANCODE_LANG2 lang_2
SDL_SCANCODE_LANG3 lang_3
SDL_SCANCODE_LANG4 lang_4
SDL_SCANCODE_LANG5 lang_5
SDL_SCANCODE_LANG6 lang_6
SDL_SCANCODE_LANG7 lang_7
SDL_SCANCODE_LANG8 lang_8
SDL_SCANCODE_LANG9 lang_9

SDL_SCANCODE_ALTERASE altErase
SDL_SCANCODE_SYSREQ sysrq
SDL_SCANCODE_CANCEL cancel
SDL_SCANCODE_CLEAR clear
SDL_SCANCODE_PRIOR prior
SDL_SCANCODE_RETURN2 enter2
SDL_SCANCODE_SEPARATOR separator
SDL_SCANCODE_OUT out
SDL_SCANCODE_OPER oper
SDL_SCANCODE_CLEARAGAIN clearAgain
SDL_SCANCODE_CRSEL crsel
SDL_SCANCODE_EXSEL exsel

SDL_SCANCODE_KP_00 kp_00
SDL_SCANCODE_KP_000 kp_000
SDL_SCANCODE_THOUSANDSSEPARATOR thousandsSeparator
SDL_SCANCODE_DECIMALSEPARATOR decimalSeparator
SDL_SCANCODE_CURRENCYUNIT currency_unit
SDL_SCANCODE_CURRENCYSUBUNIT currency_subunit
SDL_SCANCODE_KP_LEFTPAREN kp_leftParen
SDL_SCANCODE_KP_RIGHTPAREN kp_rightParen
SDL_SCANCODE_KP_LEFTBRACE kp_leftBrace
SDL_SCANCODE_KP_RIGHTBRACE kp_rightBrace
SDL_SCANCODE_KP_TAB kp_tab
SDL_SCANCODE_KP_BACKSPACE kp_backspace
SDL_SCANCODE_KP_A kp_a
SDL_SCANCODE_KP_B kp_b
SDL_SCANCODE_KP_C kp_c
SDL_SCANCODE_KP_D kp_d
SDL_SCANCODE_KP_E kp_e
SDL_SCANCODE_KP_F kp_f
SDL_SCANCODE_KP_XOR kp_xor
SDL_SCANCODE_KP_POWER kp_power
SDL_SCANCODE_KP_PERCENT kp_percent
SDL_SCANCODE_KP_LESS kp_less
SDL_SCANCODE_KP_GREATER kp_greater
SDL_SCANCODE_KP_AMPERSAND kp_ampersand
